locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
281.0715942,-0.022063224,-0.011672901,0.007479754,-2.219249244,0.041642639,0.033655495,0.10685616,0.004713662,-0.049728513
281.0527649,-0.001409877,-0.024590299,0.013719541,-2.219100643,0.041306526,0.033931431,0.088256434,0.004470978,0.047047317
281.0527649,-0.016697221,-0.004833371,0.00519636,-2.219016985,0.041132919,0.034084534,0.079442784,0.016480267,0.103644133
281.0527649,0.001760616,-0.014526478,0.007443801,-2.218915409,0.040879398,0.03433218,0.046523988,-0.015879963,-0.022162676
281.0527649,-0.002220277,-0.014292919,0.006295979,-2.218915409,0.040879398,0.03433218,0.046523988,-0.015879963,-0.022162676
281.0386658,-0.028918467,-0.005173723,0.00392976,-2.218729599,0.040618407,0.034655797,0.066820167,-0.028343011,-0.018089116
281.0386658,-0.023860859,-0.006905044,0.001135039,-2.218661137,0.040449188,0.034783407,0.095141992,-0.014146715,0.02889514
281.0276489,-0.038756184,0.013939518,-0.000475374,-2.218605272,0.040451227,0.034700881,0.106690742,-0.022240158,0.064206779
281.0276489,-0.020875188,-0.001264735,0.000790959,-2.218605272,0.040451227,0.034700881,0.106690742,-0.022240158,0.064206779
281.0276489,-0.059689429,0.01852335,-0.003399259,-2.218561248,0.040418993,0.034652304,0.084429815,-0.004817452,-0.045272052
281.0225525,-0.042530417,0.016004799,-0.000404534,-2.218547339,0.040501964,0.034430615,0.056514516,0.009227689,0.071889222
281.0225525,-0.042530417,0.016004799,-0.000404534,-2.218518843,0.040586613,0.034299611,0.082995251,0.040468674,0.052618444
281.0225525,-0.030648191,0.019237876,-0.006498646,-2.218534321,0.040721571,0.034202364,0.07500191,-0.004367404,0.118473232
281.0230103,-0.042928025,0.025984196,-0.00970376,-2.218574295,0.040897798,0.034141977,0.085644111,0.060299952,0.034346402
281.0276794,-0.0251959,0.028974127,-0.006388657,-2.218601243,0.041116076,0.034264814,0.07024356,0.042341202,0.120606422
281.0276794,-0.008255533,0.039427567,-0.0068121,-2.21864651,0.041415148,0.034492847,0.108702205,0.086148478,0.053203404
281.0276794,0.018734273,0.038290665,-0.010022541,-2.218728158,0.041715341,0.034894519,0.08017391,0.070971176,0.070480466
281.0276794,0.027514182,0.033300966,-0.010597517,-2.218810067,0.042010321,0.035414333,0.088500977,0.067905493,-0.042556763
281.0389404,0.017418671,0.033097766,-0.014422881,-2.21891095,0.042302002,0.03594337,0.06066807,0.024748921,0.040511429
281.0389404,0.01532809,0.037415016,-0.013191968,-2.219015299,0.042628977,0.036445919,-0.004858822,0.065458663,-0.028810799
281.0535278,0.026734142,0.034685276,-0.009407616,-2.219108182,0.042903503,0.037022227,0.043360081,0.02398207,0.016078174
281.0535278,0.018850653,0.042808715,-0.011561048,-2.219217641,0.04320919,0.037442336,0.002070084,-0.012600165,0.007321298
281.0535278,0.022301311,0.023306921,-0.011825766,-2.219310089,0.043412804,0.037858664,0.069250047,0.013283294,-0.095425367
281.0661011,0.003657053,0.029189045,-0.004492486,-2.219344813,0.043629987,0.038196436,-0.0435916,-0.016926862,-0.050098538
281.0661011,0.006951649,0.016686035,-0.009374061,-2.219412447,0.043737409,0.038547043,0.049624376,0.00196334,-0.020758748
281.0755005,-0.002493518,0.013028717,-0.01080045,-2.219501084,0.043817236,0.038800246,-0.162597924,0.020572986,-0.04684931
281.0755005,0.021309815,-0.000474309,0.00336011,-2.2194941,0.043770341,0.039272606,-0.312513649,0.067813754,-0.178274393
281.0755005,0.014448182,-0.006990798,-0.009950901,-2.219645778,0.043666552,0.039711028,0.233474046,-0.00682088,0.027798057
281.0925598,-0.01573289,0.012095544,-0.020828849,-2.219860523,0.043665935,0.039869678,0.295623988,-0.03930071,0.054143667
281.0925598,0.015508652,-0.003654123,0.008743957,-2.219795377,0.04355745,0.040260891,-0.328534484,0.06503354,-0.196431816
281.0916138,0.033519078,-0.027988225,0.003009106,-2.219795158,0.043315996,0.040841107,-0.110259317,0.044190649,-0.136859298
281.0916138,0.031065507,-0.022406239,0.011912586,-2.219787065,0.042995225,0.041407962,0.132936418,-0.064952984,-0.038968384
281.0917358,-0.009716277,-0.032294288,-0.004841094,-2.21980235,0.042584658,0.041709082,-0.120055407,-0.06565883,-0.038780212
281.0917358,0.006954579,-0.027717382,-0.005911685,-2.219793437,0.042278513,0.042049127,-0.142865896,0.025333796,-0.0776456
281.0917358,-0.005423528,-0.048091628,-0.006537261,-2.219816978,0.041880411,0.042335633,-0.01217271,-0.106215537,-0.019291341
281.0947571,-0.060194366,-0.028333105,-0.010153568,-2.219858335,0.041501469,0.042343753,-0.10896194,-0.077200457,-0.046299219
281.0947571,-0.008274442,-0.029581062,0.004265585,-2.219823183,0.041062574,0.042474159,-0.112398773,-0.041547555,-0.229956627
281.0947571,0.018980082,-0.046480149,-0.006128466,-2.219838488,0.040545193,0.042667407,0.064311892,0.035382215,-0.123986721
281.0944214,-0.039515983,-0.047174703,-0.018909775,-2.219904704,0.039974912,0.042809044,-0.028318547,-0.024443146,0.017067134
281.0944214,-0.029607426,-0.029312082,-0.015312377,-2.219999737,0.039506256,0.042947496,-0.097475737,0.028582308,0.06786108
