locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
317.4118958,-0.030468693,0.017987257,-0.003427488,0.256969963,0.054149806,0.051273981,-0.006400265,0.008771393,-0.01207149
317.410675,-0.026177276,0.012899021,-0.002369947,0.256953947,0.05417444,0.051274032,-0.016678754,0.017438453,-0.001239061
317.410675,-0.029090773,0.01237065,-0.000420779,0.256955295,0.054212248,0.051293295,-0.004936628,0.00048992,0.013436854
317.410675,-0.029695312,0.008291219,-0.000693753,0.256957902,0.054221264,0.051296272,0.006101746,-0.012904324,-0.01720345
317.410675,-0.028484905,0.007170561,-0.000898018,0.25697358,0.054205548,0.051277124,-0.006120168,0.004547849,-0.023884952
317.410675,-0.025628664,0.008464059,-0.002258893,0.256977675,0.054174387,0.051300129,-0.007111359,0.020974029,-0.003132522
317.4099426,-0.02994485,0.015519039,-0.00103597,0.256982235,0.054195424,0.051319513,0.002236612,0.003995106,0.015053809
317.4099426,-0.032384306,0.009235577,-0.000892692,0.25699063,0.054219359,0.051319044,0.009842128,-0.012805291,-0.003242731
317.4099426,-0.031274032,0.008559399,-0.001727326,0.256995705,0.054199275,0.05129778,-0.007349815,0.000143435,-0.015645921
317.4092407,-0.026269155,0.00852904,-0.001044225,0.256998131,0.054168325,0.051292764,-0.009790875,0.01321521,0.005489409
317.4092407,-0.030293724,0.01289476,-0.002470881,0.257000479,0.054166563,0.051300402,-0.001717199,-0.000159122,0.010402441
317.409668,-0.029783994,0.008606804,-0.002731871,0.256993759,0.054184489,0.051288005,0.003971674,-0.011508781,-0.017109513
317.409668,-0.030276412,0.007244597,-0.000990163,0.256992727,0.054157723,0.051272945,-0.00524848,0.002712607,-0.021974802
317.4096375,-0.024355141,0.010712566,-0.000774714,0.25699301,0.054139449,0.051274385,-0.013683636,0.012769602,-0.002854645
317.4096375,-0.027484622,0.012125372,-0.001161138,0.2569915,0.054170642,0.051289547,0.001269426,-0.00209257,0.017665982
317.4096375,-0.030032201,0.007407849,-0.000581634,0.256993192,0.054173557,0.051282569,0.003036514,-0.011254817,-0.007754982
317.4098511,-0.028546955,0.008382034,-0.002470615,0.25699079,0.054148004,0.051281736,-0.005696543,0.006139368,-0.011263072
317.4098511,-0.027798608,0.012947224,-0.002496447,0.256985308,0.054139893,0.051281931,-0.010082982,0.017431073,-0.001237631
317.4098511,-0.029614884,0.014364825,-0.001859685,0.256975074,0.054169684,0.051291398,-0.000148684,-0.002868921,0.003704131
317.410553,-0.032044485,0.010688864,-0.003532949,0.256975804,0.054198675,0.051255495,0.007405914,-0.016424075,-0.022891641
317.410553,-0.030314229,0.006370015,0.000241549,0.256981427,0.054179764,0.051230991,-0.001486421,0.000351373,-0.022828341
