locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
10.07558632,0.051076766,-0.00811625,-0.045487322,-3.07985838,0.063626016,0.000184589,0.071498208,-0.053800546,-0.008097589
10.07558632,0.046450056,0.00183838,-0.048585378,-3.080351382,0.063595412,0.000848253,0.145701766,-0.027532268,0.026037931
10.07558632,0.037078392,0.000876446,-0.046427153,-3.080838192,0.063615029,0.001446253,0.127295375,-0.029817851,0.021122634
10.14510918,0.03294703,-0.006337258,-0.048299089,-3.081321653,0.063626723,0.001978128,0.104975387,-0.050937906,-0.004849434
10.14510918,0.031174697,0.004030428,-0.049029063,-3.081819915,0.063592299,0.002481692,0.098112866,-0.012302356,0.00912863
10.21649933,0.020429641,-0.007749,-0.048863146,-3.082332292,0.063612982,0.002966772,0.097909175,-0.040259391,-0.003843963
10.21649933,0.009977266,-0.008950618,-0.05280995,-3.082835091,0.063661961,0.003381769,0.113943115,-0.062945977,-0.010928452
10.21649933,0.010409764,-0.007420632,-0.051282629,-3.083332886,0.063653629,0.003766267,0.125273526,-0.055877917,0.03019315
10.2874279,0.004389955,0.007274158,-0.052673064,-3.083836551,0.063820676,0.004155625,0.10597232,-0.058051825,0.018996239
10.2874279,-0.007000652,0.013634319,-0.048333712,-3.084328946,0.063837419,0.00440688,0.097242892,-0.076202534,-0.015170336
10.35539341,-0.012690228,-0.002376871,-0.048725195,-3.084805807,0.06387038,0.004597865,0.115200147,-0.044349458,-0.010320961
10.35539341,-0.01713904,-0.006352704,-0.051424842,-3.085286727,0.063843125,0.004690922,0.13282077,-0.012777472,0.026408255
10.35539341,-0.024787372,-0.005563876,-0.050661579,-3.085771383,0.063814273,0.004778003,0.104697138,-0.030863564,0.036327899
10.42295456,-0.032570194,-0.005398227,-0.052622464,-3.086257216,0.063860216,0.004794974,0.093039334,-0.038216576,0.003365874
10.42295456,-0.025053421,-0.00086313,-0.052706886,-3.086741616,0.063818146,0.004798709,0.1327084,0.016383111,0.090587795
10.49414158,-0.024501082,0.006303968,-0.055722117,-3.087249295,0.063863731,0.004865797,0.107943669,-0.01643246,0.00800401
10.49414158,-0.035163313,0.00256276,-0.052636046,-3.08775126,0.063869492,0.004857563,0.092221342,-0.016364399,-0.007163584
10.49414158,-0.034300715,-0.00388422,-0.055653676,-3.088258439,0.06390907,0.004839091,0.136142388,-0.009928418,-0.01835072
10.56443024,-0.031099595,-0.000822384,-0.052444831,-3.088759216,0.063932537,0.004807943,0.124323905,-0.022349717,0.046863973
10.56443024,-0.04054423,0.002080195,-0.060020193,-3.08928362,0.064042545,0.004715751,0.065406665,0.040759947,-0.021364629
10.63499069,-0.039788693,0.010239588,-0.051869854,-3.089801088,0.06405391,0.004602318,0.103145525,0.030285729,0.017895997
10.63499069,-0.038402781,0.008628642,-0.058719505,-3.090307469,0.064197975,0.004488953,0.110905692,0.015447574,0.007297695
10.63499069,-0.042101379,0.011013502,-0.060326725,-3.090874295,0.064330325,0.004279293,0.105921194,0.06186866,0.040020227
10.70889187,-0.049728673,0.02442172,-0.062976569,-3.09145038,0.064508481,0.004062704,0.090881176,0.04190708,-0.030241847
10.70889187,-0.054754324,0.022515163,-0.067679711,-3.092053668,0.064694027,0.003783218,0.096570477,0.022691291,-0.072122812
10.79404736,-0.053653643,0.012069712,-0.067124709,-3.092690576,0.064913211,0.003447832,0.10861963,0.044297859,0.001243711
10.79404736,-0.057642791,0.027540814,-0.073337331,-3.093328879,0.065137615,0.003151328,0.071530268,0.023478122,-0.026510417
10.79404736,-0.060495302,0.023174029,-0.071931452,-3.094021715,0.065291541,0.002714414,0.1201436,0.069595531,-0.010665298
10.88729191,-0.059687566,0.022246983,-0.072537847,-3.094698533,0.065491245,0.002279389,0.107462451,0.034827992,0.056705594
