locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
290.6617126,-0.029318741,0.011500329,-0.002113485,0.023496647,0.043857308,-0.014785447,-0.013632908,-0.012244301,0.012111187
290.6617126,-0.027103523,0.015296399,-0.00567999,0.0234798,0.043863842,-0.014785205,-0.007917397,-0.001593424,0.026683033
290.6634216,-0.025780197,0.010998589,-0.002044509,0.023465406,0.043863118,-0.014781901,-0.026181448,-0.003512723,-0.023228407
290.6634216,-0.025023328,0.011025753,-0.000371777,0.023482097,0.043853583,-0.014755631,-0.0204041,-0.006767053,-0.03270328
290.6615295,-0.02379268,0.010091516,-0.001129713,0.023495746,0.043846124,-0.014724263,-0.005000547,-0.002447922,-0.002368033
290.6615295,-0.026816433,0.009013202,0.000709999,0.023510206,0.043851367,-0.014706674,-0.01033112,0.001414909,-0.009051383
290.6615295,-0.02506434,0.009578591,0.000385626,0.023534432,0.043830978,-0.014695698,-0.015758112,-0.001869997,-0.022142351
290.6592407,-0.024370586,0.008575379,-0.001187237,0.02354655,0.04380934,-0.014685972,-0.013554461,-0.004683133,0.009703815
290.6592407,-0.027972246,0.013407419,-0.003326821,0.023537432,0.04380699,-0.014667382,-0.005510744,-0.001795864,0.023070931
290.6600952,-0.029010613,0.011908058,-0.001922802,0.023530548,0.043821869,-0.014688627,-0.018739726,-0.003175174,-0.02295053
290.6600952,-0.026858512,0.008176438,0.000581901,0.023544819,0.043802666,-0.014701638,-0.015394092,-0.005339691,-0.033051193
290.6600952,-0.023036877,0.008061389,-0.002887133,0.023555565,0.043755492,-0.014670007,-0.004818354,-0.007840973,0.001542985
290.659729,-0.02811579,0.010817761,-0.002786732,0.023545116,0.043723734,-0.014657795,-0.018702608,-0.002396619,-0.02018398
290.659729,-0.026945597,0.011151987,2.85E-05,0.02355256,0.043728439,-0.014659896,-0.016357459,-0.001620524,0.01158458
290.6585999,-0.023151658,0.009062737,-0.001249555,0.023569503,0.043715511,-0.014640499,-0.016344532,-0.001601096,0.011585474
290.6585999,-0.028082501,0.012984508,-0.004125237,0.02355929,0.043711471,-0.014611774,-0.018858209,-0.005371767,-0.02306664
290.659729,-0.027372768,0.010160492,-0.001541438,0.023553327,0.043706374,-0.014621335,-0.016381178,-0.006693598,-0.031352103
290.659729,-0.026973827,0.009666742,-0.002496447,0.023554747,0.043695231,-0.014623788,-0.007077437,-0.005856826,0.002660215
290.659729,-0.025078721,0.011628693,-0.003222425,0.02355157,0.043679999,-0.014594194,-0.006711259,-0.000959636,-0.006219327
290.6602478,-0.027536286,0.011434282,-0.001792307,0.023545982,0.043677539,-0.014588268,-0.020823184,-0.003471401,-0.017403841
290.6602478,-0.0267155,0.011476893,-0.000468184,0.023554698,0.043680616,-0.0145948,-0.012876429,-0.005308997,0.013144016
290.6602478,-0.028127775,0.012803147,-0.001516138,0.023558187,0.043685273,-0.014594768,-0.006518174,-0.001265386,0.026495278
290.6605225,-0.027362382,0.013291837,-0.002820288,0.023547386,0.043701939,-0.014594429,-0.018909723,0.001435759,-0.023416936
290.6605225,-0.026565032,0.012528575,-0.001498028,0.023553591,0.0437028,-0.014597342,-0.018071353,-0.004228167,-0.033792973
290.65979,-0.024659008,0.007497331,-0.001509746,0.023561759,0.04369397,-0.014589613,-0.006252222,-0.008553925,-0.001565933
290.65979,-0.027198598,0.01142869,-0.002838397,0.023562117,0.043674657,-0.014564096,-0.010810554,-0.004469532,-0.008156538
290.65979,-0.027582092,0.011944011,-0.003562777,0.023554138,0.043672973,-0.014563574,-0.020772856,-0.001524063,-0.017876267
290.6605225,-0.026951456,0.012034559,-0.000135022,0.023556922,0.043665607,-0.014558819,-0.018812377,-0.002831561,0.006873846
290.6618042,-0.025623338,0.009914416,-0.001385376,0.02356371,0.043661134,-0.014549978,-0.004495159,-0.000320266,0.028022885
290.6618042,-0.027601002,0.011179684,-0.004291418,0.023545165,0.043664737,-0.014548933,-0.014996815,-0.00269959,-0.019676268
290.6618042,-0.032287098,0.011982627,-0.001757953,0.023537833,0.043658587,-0.014571964,-0.017157387,-0.003378779,-0.038215756
290.6618042,-0.024295753,0.008126636,-0.001478853,0.023545357,0.043631362,-0.0145663,-0.003626119,0.001540223,-0.002539396
290.6610718,-0.026923493,0.009223592,-0.002677542,0.023553341,0.043599058,-0.014544248,-0.010246649,-0.000268747,-0.00653547
290.6610718,-0.028515264,0.010380736,-0.00335798,0.023547393,0.043587871,-0.014543506,-0.01571336,-0.000863099,-0.013493001
290.6615295,-0.02693814,0.009588446,-0.001045823,0.023541923,0.043579032,-0.014573287,-0.020770427,-0.007438945,0.005855083
290.6615295,-0.021834726,0.006363357,-0.001634648,0.023552843,0.043540041,-0.014537122,-0.011454094,0.001264265,0.025327563
290.6615295,-0.025614817,0.011846806,-0.003362773,0.023548024,0.043544644,-0.014525596,-0.018111542,-0.000387402,-0.017488658
290.6618347,-0.02720925,0.011639612,0.000364054,0.023549091,0.043524617,-0.014512959,-0.016214669,-0.002968735,-0.031556189
290.6618347,-0.027487017,0.011025487,-0.002538259,0.023560864,0.043522984,-0.014527342,-0.009911157,-0.006858876,-0.010560274
290.6621094,-0.025559155,0.013330453,-0.003743339,0.023558238,0.043526658,-0.01451817,-0.002743207,-0.001905844,-0.003129244
290.6621094,-0.027264111,0.00975436,-0.003366236,0.023537816,0.043523037,-0.014526367,-0.014046341,0.00107667,-0.014588535
290.6621094,-0.027599137,0.009203885,-0.003468767,0.023530437,0.043503954,-0.014535863,-0.015614148,-0.00541782,0.002608776
290.6638489,-0.024287762,0.008489625,-0.003630954,0.023519798,0.043467445,-0.01451828,-0.010496456,-0.002729924,0.025788724
290.6638489,-0.027052123,0.013580257,-0.004668788,0.023511432,0.043468218,-0.01451133,-0.018965859,-0.003821597,-0.007383823
290.6660461,-0.028075842,0.011194065,-0.004301005,0.023488247,0.043467916,-0.014517445,-0.020705059,-0.005414637,-0.031324923
290.6660461,-0.024594825,0.009996708,-0.003166765,0.023482217,0.043457291,-0.014508093,-0.01050156,-0.005863036,-0.018613756
290.6660461,-0.022713302,0.007519968,-0.005636847,0.02345725,0.043419576,-0.014475309,-0.002742901,0.00419482,-0.001338661
290.6686707,-0.027182885,0.007009706,-0.000595749,0.023441438,0.043372714,-0.014448103,-0.014597885,-0.002400247,-0.005364597
290.6686707,-0.024082167,0.007761783,-0.003164102,0.023441077,0.04332591,-0.014443834,-0.018030062,-0.007950171,-0.001486778
290.6694946,-0.023753,0.008302405,-0.003110306,0.023435239,0.043283259,-0.014411945,-0.012540024,-0.000670312,0.015712202
290.6694946,-0.024723988,0.010387394,-0.00332469,0.023421021,0.043254108,-0.014379399,-0.018522844,0.001300147,0.000577211
290.6694946,-0.030142723,0.010056362,-0.003376888,0.023401513,0.043229439,-0.014378526,-0.012974478,-0.002345828,-0.027940392
290.6716919,-0.024723189,0.008479505,-0.002207494,0.023391586,0.043201981,-0.014376226,-0.014655996,-0.009118427,-0.023056328
290.6716919,-0.023416908,0.006496781,-0.001634915,0.023393597,0.043153165,-0.014332907,-0.003529299,-0.003139379,0.001787722
290.6721802,-0.02625717,0.007670437,-0.004697816,0.023393237,0.043120307,-0.014309592,-0.012514383,0.001934632,-0.004268289
290.6721802,-0.028074777,0.009153817,-0.003543336,0.023377157,0.043090494,-0.014315802,-0.017184261,0.000356756,-0.007761359
290.6721802,-0.026239326,0.010706174,-0.002566222,0.023374748,0.043068172,-0.014311331,-0.014476378,-0.004231662,0.009039581
290.6736145,-0.024723455,0.011306982,-0.004055195,0.023360269,0.043055235,-0.014284559,-0.013120681,-0.004082779,0.008430183
290.6736145,-0.028165592,0.008034491,-0.002582201,0.023343064,0.043028282,-0.014282215,-0.01886154,-0.004431384,-0.026511252
290.6748657,-0.027620709,0.00988086,-0.001590706,0.023340477,0.042999976,-0.014291445,-0.015155841,-0.006912552,-0.03116411
290.6748657,-0.02560869,0.00802437,-0.004581436,0.023329492,0.042963825,-0.01428476,-0.004453782,6.37E-06,0.002483189
290.6748657,-0.026005235,0.007104781,-0.002017345,0.023317863,0.042939263,-0.014286831,-0.01028857,0.001606478,-0.001208425
290.6761475,-0.030712372,0.010756508,-0.003540406,0.023317318,0.042916024,-0.0143027,-0.017101247,-0.004879141,-0.01077491
290.6761475,-0.025402829,0.009543438,-0.003232545,0.023303427,0.042903799,-0.014314337,-0.014205098,-0.005424855,0.003751814
290.6761475,-0.025416143,0.015304388,-0.002626143,0.023289739,0.042911617,-0.01430189,-0.008109413,0.0009963,0.018110216
290.6781006,-0.025416143,0.015304388,-0.002626143,0.023289739,0.042911617,-0.01430189,-0.008109413,0.0009963,0.018110216
290.6781006,-0.025423868,0.01029578,-0.001277252,0.023273916,0.042931362,-0.014326699,-0.018581424,-0.00990806,-0.035006821
290.6781006,-0.025131986,0.01179301,-0.004227235,0.023271757,0.042921531,-0.014300062,-0.003099188,-0.008370764,-0.00409174
290.6787415,-0.028365862,0.011267834,-0.003189934,0.023256303,0.042934294,-0.014306465,-0.009413838,-0.001373391,-0.001818836
290.6787415,-0.029317142,0.01212697,-0.001480185,0.023256303,0.042934294,-0.014306465,-0.009413838,-0.001373391,-0.001818836
290.6795349,-0.025724271,0.009274991,-0.001825597,0.023255883,0.042943805,-0.014332088,-0.019478884,0.000691401,-0.01051712
290.6795349,-0.025724271,0.009274991,-0.001825597,0.023257565,0.042966881,-0.014369843,-0.018647455,-0.001955661,-0.001973689
290.6795349,-0.030032467,0.015224493,-0.000864728,0.02327108,0.042968303,-0.014370281,-0.003832601,-0.003527758,0.019739449
290.6779175,-0.027938956,0.009835853,-5.99E-05,0.023285423,0.042967688,-0.014367865,-0.01313984,-0.002914985,-0.014501214
290.6779175,-0.0304386,0.010848919,0.001074053,0.023314674,0.042955732,-0.014385657,-0.017797064,-0.00741889,-0.037587464
290.6721802,-0.024491228,0.007807855,0.002116148,0.023361373,0.042924664,-0.014385337,-0.00742051,-0.001223496,-0.010837495
290.6721802,-0.025780464,0.000998419,0.003207511,0.023413126,0.042898853,-0.014375832,-0.000223059,0.000586561,0.002881408
290.6600647,-0.026466228,0.004417385,0.008348211,0.023486713,0.042816686,-0.014360807,-0.013354976,-0.007027789,-0.006041229
290.6600647,-0.026600186,0.003081544,0.009308547,0.023600942,0.042749486,-0.014365544,-0.020947646,-0.011076111,-0.001979589
290.6600647,-0.019937489,0.001657285,0.011905928,0.023735229,0.042660282,-0.01432144,-0.007033959,0.001556559,0.018990457
290.645813,-0.032957684,0.011817778,0.001941178,0.023834622,0.042616512,-0.014300425,-0.016587954,0.007803189,-0.007603467
290.645813,-0.026724288,0.008504539,7.24E-05,0.023869932,0.042613744,-0.014345789,-0.023711003,-0.001702685,-0.030263305
290.645813,-0.030119553,0.009112271,-0.005262939,0.023867185,0.042586745,-0.014362484,-0.015825704,-0.007380415,-0.022068441
290.6470947,-0.026268622,0.00860494,-0.005491438,0.023838523,0.042578052,-0.014374657,-0.00747044,0.002464569,-0.002277553
290.6470947,-0.029964823,0.013140569,-0.009351957,0.023787499,0.042600133,-0.014402408,-0.017349694,0.003001355,0.002222419
